task_family,condition_label,noise_type,noise_size_target,n_trials,accuracy,compliance_rate,mean_latency_ms,median_latency_ms
arithmetic,noise_0,random_unrelated,0,10,0.9,1.0,1634.364889400058,1182.2881020007117
arithmetic,random_250,random_unrelated,250,10,0.9,1.0,1392.0926574002806,1086.4362550000806
arithmetic,similar_250,similar_irrelevant,250,10,1.0,1.0,1267.2698013997433,1037.2385045002375
arithmetic,random_1000,random_unrelated,1000,10,0.9,1.0,2035.0875517999157,1696.8297669991443
arithmetic,similar_1000,similar_irrelevant,1000,10,0.8,1.0,1983.7311450000925,1840.320389000226
arithmetic,random_4000,random_unrelated,4000,10,0.8,1.0,2796.10634280034,2390.7544925004913
arithmetic,similar_4000,similar_irrelevant,4000,10,0.7,1.0,2632.778529600182,2538.0675600008544
instruction,noise_0,random_unrelated,0,10,1.0,1.0,1341.0393254000155,1167.8154665005422
instruction,random_250,random_unrelated,250,10,1.0,1.0,1575.608683000246,1418.7464975002513
instruction,similar_250,similar_irrelevant,250,10,1.0,1.0,1507.279403299981,1099.1342084998905
instruction,random_1000,random_unrelated,1000,10,1.0,1.0,2031.311015999745,1257.6254394998614
instruction,similar_1000,similar_irrelevant,1000,10,1.0,1.0,1629.8945783997624,1378.8109464994704
instruction,random_4000,random_unrelated,4000,10,1.0,1.0,2408.3565035998618,2186.60514649946
instruction,similar_4000,similar_irrelevant,4000,10,1.0,1.0,2621.5979913999035,2598.2779744990694
logic,noise_0,random_unrelated,0,10,1.0,1.0,1154.4779160998587,1036.7072589997406
logic,random_250,random_unrelated,250,10,1.0,1.0,1452.495644999908,1446.8606029995499
logic,similar_250,similar_irrelevant,250,10,1.0,1.0,1503.3228704000067,1263.3635060001325
logic,random_1000,random_unrelated,1000,10,1.0,1.0,1431.9758803998411,1140.3935844991793
logic,similar_1000,similar_irrelevant,1000,10,1.0,1.0,1946.4304491999428,1828.3525045007991
logic,random_4000,random_unrelated,4000,10,1.0,1.0,2540.2098100998046,2500.3717079989656
logic,similar_4000,similar_irrelevant,4000,10,1.0,1.0,2849.179180399551,2417.2835669996857
retrieval,noise_0,random_unrelated,0,50,1.0,1.0,1505.8045426398894,1235.5370160003076
retrieval,random_250,random_unrelated,250,50,1.0,1.0,1363.8234769198607,1092.7869389997795
retrieval,similar_250,similar_irrelevant,250,50,0.82,1.0,1251.8385408801623,1031.565286500154
retrieval,random_1000,random_unrelated,1000,50,1.0,1.0,1687.8911926398723,1573.2023919999847
retrieval,similar_1000,similar_irrelevant,1000,50,0.76,1.0,1579.4255612199777,1332.9391379993467
retrieval,random_4000,random_unrelated,4000,50,1.0,1.0,2634.5709836200695,2226.6900940003325
retrieval,similar_4000,similar_irrelevant,4000,50,0.94,1.0,2472.862179880067,2151.0435565005537
